A,B,C,D,E,F
0.14395504313691743,0.12180902703295249,0.9402079867529867,0.5209302894506048,0.1281272941106122,0.17226228870217086
0.7247775101317315,0.153461632049409,0.06276328478422133,0.014407244331736568,0.6833586166377714,0.04436294259344575
0.8843211327848501,0.2891587047883627,0.10476671833676077,0.4401282032852416,0.34919965287582677,0.4509652777433357
0.4347005092896349,0.38026704116308097,0.5917995302642729,0.4608595809666558,0.9939565439333582,0.4887518644424047
0.3283714093562192,0.39656717932110563,0.08993751649956994,0.483067016246977,0.5404216062567114,0.7894990638190406
0.3656359327613188,0.2999781534525665,0.533598715823285,0.9807976677832724,0.5878779982391013,0.8730875997092072
0.6282290978797029,0.1268032155071579,0.9494652926384618,0.859399387370005,0.8944380795944746,0.7596946174220918
0.25047997681030565,0.22032226221286733,0.11611140051082836,0.6043062968957912,0.5028094103678392,0.6526926620460201
0.9136916846238685,0.8072041759552466,0.003996763982848095,0.028034141599705964,0.5441955716658486,0.3034343116274074
0.7552771748821353,0.6704658685707535,0.14961163626725216,0.285753925380987,0.04109907526439849,0.5271763481757022
0.29113448483518223,0.4054660461122127,0.638155916196538,0.4398172298078634,0.6241297663646878,0.00740143822145678
0.6043832386527157,0.5436635132014435,0.8198303338750982,0.048604867434338894,0.3872264804104988,0.0165544355843118
0.8021568443229286,0.1724399121103256,0.5876722489310793,0.6718524084318864,0.9016909408510267,0.4234995710338456
0.48942892172676955,0.6691657210301332,0.1677655234664337,0.22846529499570267,0.8926497187347129,0.526579904399844
0.037388325883012774,0.1903254631136747,0.867360411800792,0.7589880227725795,0.30672693408768437,0.4208949045369953
0.40030329976284307,0.3810268553301701,0.03626828962587492,0.1864483268380016,0.44444962184107484,0.7184059663690723
0.0872782708371177,0.221728218394593,0.38648013519919844,0.28282762728391686,0.24537587149051265,0.923794952331676
0.7000141469655565,0.7908882302706759,0.6988845788428996,0.5625115552290987,0.16801692913834876,0.3699679576058762
0.8538985154691353,0.7156178171732362,0.9277133349169323,0.6263301454053084,0.7531177008813689,0.17261776270255214
